,animal,accuracy,yes_count,no_count
0,rhino,0.00,4,0
1,elephant,0.00,4,0
2,flamingo,0.00,4,0
3,hippopotamus,0.00,4,0
4,iguana,1.00,0,4
5,lizard,0.25,3,1
6,pig,0.00,4,0
7,worm,0.50,2,2
8,snail,0.50,2,2
9,tarantula,0.25,3,1
10,spider,0.25,3,1
11,boa,1.00,0,4
12,cobra,0.50,2,2
13,mamba,1.00,0,4
14,ant,0.25,3,1
15,caterpillar,0.50,2,2
16,alligator,0.50,2,2
17,crocodile,0.00,4,0
18,snake,0.00,4,0
19,frog,0.00,4,0
20,salamander,0.50,2,2
21,fish,0.25,3,1
22,shark,0.50,2,2
23,tuna,0.50,2,2
24,jellyfish,0.50,2,2
25,salmon,0.25,3,1
26,octupus,0.50,2,2
27,barracuda,1.00,0,4
28,codfish,0.50,2,2
29,crab,0.50,2,2
30,cuttlefish,0.25,3,1
31,dolphin,0.50,2,2
32,eel,0.50,2,2
33,gar,0.00,4,0
34,herring,0.00,4,0
35,kingfisher,0.50,2,2
36,lobster,1.00,0,4
37,oyster,1.00,0,4
38,puma,0.50,2,2
39,piranha,1.00,0,4
40,seal,0.50,2,2
41,shrimp,1.00,0,4
42,prawn,0.00,4,0
43,starfish,0.50,2,2
44,sponge,1.00,0,4
45,whale,0.50,2,2
46,turkey,0.00,4,0
47,swan,0.50,2,2
48,sparrow,0.00,4,0
49,songbird,1.00,0,4
50,bird,0.00,4,0
51,eagle,0.00,4,0
52,duck,0.50,2,2
53,chicken,0.00,4,0
54,crow,0.00,4,0
55,dove,0.75,1,3
56,hen,0.00,4,0
57,jay,0.25,3,1
58,owl,0.25,3,1
59,parrot,0.50,2,2
60,peacock,0.50,2,2
61,pigeon,0.00,4,0
62,hummingbird,0.50,2,2
63,ostrich,0.50,2,2
64,butterfly,0.50,2,2
65,cuckoos,0.00,4,0
66,seagull,1.00,0,4
67,pelican,0.50,2,2
